timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773324201186,137,GET /api/events?type=gaming,200,,50 Concurrent Students 1-14,text,true,,160698,430,25,25,http://localhost:8080/api/events?typegaming,37,0,0
1773324200515,808,POST /api/auth/login,200,,50 Concurrent Students 1-18,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,808,0,0
1773324201195,128,GET /api/events (all),200,,50 Concurrent Students 1-11,text,true,,160698,419,25,25,http://localhost:8080/api/events,17,0,0
1773324201517,8,POST /api/events,201,,50 Concurrent Students 1-17,text,true,,693,636,25,25,http://localhost:8080/api/events,8,0,0
1773324201824,3,POST /api/students/subscribe,201,,50 Concurrent Students 1-14,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,3,0,0
1773324202025,4,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-17,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-001/register,4,0,0
1773324202328,4,POST /api/events,201,,50 Concurrent Students 1-14,text,true,,694,636,25,25,http://localhost:8080/api/events,4,0,0
1773324202833,6,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-14,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-003/register,5,0,0
1773324202531,888,POST /api/auth/login,200,,50 Concurrent Students 1-17,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,888,0,0
1773324140311,63607,GET /api/events (all),200,,50 Concurrent Students 1-2,text,true,,160698,419,25,25,http://localhost:8080/api/events,63604,0,0
1773324203920,9,GET /api/events (all),200,,50 Concurrent Students 1-17,text,true,,160698,419,25,25,http://localhost:8080/api/events,5,0,0
1773324203341,821,POST /api/auth/login,200,,50 Concurrent Students 1-14,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,821,0,0
1773324204419,34,GET /api/events?type=gaming,200,,50 Concurrent Students 1-2,text,true,,160698,430,25,25,http://localhost:8080/api/events?typegaming,30,0,4
1773324204430,24,GET /api/events?type=gaming,200,,50 Concurrent Students 1-17,text,true,,160698,430,25,25,http://localhost:8080/api/events?typegaming,18,0,0
1773324204664,7,GET /api/events (all),200,,50 Concurrent Students 1-14,text,true,,160698,419,25,25,http://localhost:8080/api/events,6,0,0
1773324120346,84590,GET /api/events?type=gaming,200,,50 Concurrent Students 1-13,text,true,,156683,430,25,25,http://localhost:8080/api/events?typegaming,84586,0,4
1773324204955,4,POST /api/students/subscribe,201,,50 Concurrent Students 1-17,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,4,0,0
1773324204954,5,POST /api/students/subscribe,201,,50 Concurrent Students 1-2,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,5,0,0
1773324205173,6,GET /api/events?type=gaming,200,,50 Concurrent Students 1-14,text,true,,156683,430,25,25,http://localhost:8080/api/events?typegaming,4,0,0
